鱼	fish
羊驼	Alpaca
熊	Bear
鸟	bird
蝴蝶	butterfly
骆驼	camel
猫	Cat
牛	Cattle
鸡	chicken
海螺	conch
珊瑚	coral
螃蟹	crab
鳄鱼	crocodile
狗	dog
蜻蜓	dragonfly
鸭子	duck
鹰	eagle
大象	Elephant
狐狸	fox
青蛙	frog
壁虎	gecko
鹅	Goose
土拨鼠	Groundhog
刺猬	Hedgehog
寄居蟹	Hermit+crab
河马	hippo
马	horse
水母	Jellyfish
袋鼠	kangaroo
考拉	Koala
豹	leopard
狮子	lion
龙虾	lobster
猴子	monkey
鼠	mouse
鸵鸟	ostrich
猫头鹰	owl
熊猫	panda
孔雀	peacock
企鹅	penguin
猪	pig
鸭嘴兽	platypus
兔子	rabbit
浣熊	Raccoon
蝎子	Scorpion
海狮	Sea+lion
羊	sheep
蛇	snake
蜘蛛	spider
松鼠	squirrel
海星	starfish
老虎	tiger
龟	turtle
鲸鱼	whale
狼	Wolf
斑马	zebra
